Domain,Topics,Sub-topics,w3school,youtube,gfg,attention_score_w3school,attention_score_youtube,attention_score_gfg
Python,Learn the Basics,Basic Syntax,https://www.w3schools.com/python/python_syntax.asp,https://www.youtube.com/watch?v=AGnECmJFA9U,https://www.geeksforgeeks.org/python-3-basics/?ref=lbp,1,1.000000119,0.999999881
Python,Learn the Basics,Variables,https://www.w3schools.com/python/python_variables.asp,https://www.youtube.com/watch?v=cQT33yu9pY8,https://www.geeksforgeeks.org/python-variables/,1,0.99999994,1.000000119
Python,Learn the Basics,Conditionals,https://www.w3schools.com/python/python_conditions.asp,https://www.youtube.com/watch?v=DZwmZ8Usvnk,https://www.geeksforgeeks.org/python-if-else/,1.000000238,1,1.000000119
Python,Learn the Basics,Type Casting,https://www.w3schools.com/python/python_casting.asp,https://www.youtube.com/watch?v=Qtq83lAoogM,https://www.geeksforgeeks.org/type-casting-in-python/,1.000000119,0.99999994,1
Python,Learn the Basics,Exceptions,https://www.w3schools.com/python/python_try_except.asp,https://www.youtube.com/watch?v=NIWwJbo-9_8,https://www.geeksforgeeks.org/python-exception-handling/,0.99999994,1,1.000000238
Python,Learn the Basics,Functions,https://www.w3schools.com/python/python_functions.asp,https://www.youtube.com/watch?v=u-OmVr_fT4s,https://www.geeksforgeeks.org/python-functions/,0.99999994,1,1
Python,Learn the Basics,Builtin Functions,https://www.w3schools.com/python/python_functions.asp,https://www.youtube.com/watch?v=w6hL_dszMxk,https://www.geeksforgeeks.org/python-built-in-functions/,0.99999994,0.99999994,0.999999881
Python,Learn the Basics,Lists,https://www.w3schools.com/python/python_lists.asp,https://www.youtube.com/watch?v=r3R3h5ly_8g,https://www.geeksforgeeks.org/python-lists/,1.000000238,0.99999994,0.99999994
Python,Learn the Basics,Tuples,https://www.w3schools.com/python/python_tuples.asp,https://www.youtube.com/watch?v=daefaLgNkw0,https://www.geeksforgeeks.org/python-tuples/,0.999999881,0.999999881,1.000000119
Python,Learn the Basics,Sets,https://www.w3schools.com/python/python_sets.asp,https://www.youtube.com/watch?v=iaIRCrG5oW0,https://www.geeksforgeeks.org/difference-between-list-vs-set-vs-tuple-in-python/,1.000000119,1,1.000000119
Python,Learn the Basics,Dictionaries,https://www.w3schools.com/python/python_dictionaries.asp,https://www.youtube.com/watch?v=Ast5sKQXxEU,https://www.geeksforgeeks.org/python-dictionary/,1,1,0.99999994
Python,Datastructures and Algorithms,Arrays,https://www.w3schools.com/python/python_arrays.asp,https://www.youtube.com/watch?v=wGSQ486Y4sc,https://geeksforgeeks.org/python-arrays/,1,1.000000119,1
Python,Datastructures and Algorithms,Linked Lists,https://www.w3schools.com/dsa/dsa_theory_linkedlists.php,https://www.youtube.com/watch?v=NKmasqr_Xkw,https://www.geeksforgeeks.org/data-structures/linked-list/,0.999999881,1,1.000000119
Python,Datastructures and Algorithms,Heaps,https://www.w3schools.com/dsa/dsa_theory_linkedlists.php,https://www.youtube.com/watch?v=IxQHWt0GpsU,https://www.geeksforgeeks.org/heap-queue-or-heapq-in-python/,0.999999881,1,0.99999994
Python,Datastructures and Algorithms,Stacks,https://www.w3schools.com/dsa/dsa_data_stacks.php,https://www.youtube.com/watch?v=ea8BRGxGmlA,https://www.geeksforgeeks.org/stack-data-structure/,1,1,1
Python,Datastructures and Algorithms,Queues,https://www.w3schools.com/dsa/dsa_data_queues.php,https://www.youtube.com/watch?v=DlWxqU3LLpY,https://www.geeksforgeeks.org/queue-in-python/,0.999999881,1,0.99999994
Python,Datastructures and Algorithms,Hash Tables,https://www.javatpoint.com/java-hashtable,https://www.youtube.com/watch?v=m1Fjdnj_Mds,https://www.geeksforgeeks.org/hash-table-data-structure/,1.000000238,1,1.000000119
Python,Datastructures and Algorithms,Binary Search Trees,https://www.w3schools.com/dsa/dsa_data_binarytrees.php,https://www.youtube.com/watch?v=KLvH6yi5YYU,https://www.geeksforgeeks.org/binary-search-tree-data-structure/,1.000000119,1,1
Python,Datastructures and Algorithms,Recursion,"https://www.w3schools.com/python/gloss_python_function_recursion.asp#:~:text=Python%20also%20accepts%20function%20recursion,data%20to%20reach%20a%20result.",https://www.youtube.com/watch?v=ZDa-Z5JzLYM,https://www.geeksforgeeks.org/recursion-in-python/,1,1,0.999999762
Python,Datastructures and Algorithms,Sorting Algorithms,"https://www.javatpoint.com/sorting-algorithms#:~:text=Sorting%20is%20the%20process%20of,%3E%20A4%20%3E%20A5%20%3E%20%3F%20%3E",https://www.youtube.com/watch?v=RSl87lqOXDE,https://www.geeksforgeeks.org/sorting-algorithms-in-python/,1,1,1.000000238
Python,OOP,Classes,https://www.w3schools.com/python/python_classes.asp,https://www.youtube.com/watch?v=rq8cL2XMM5M,https://www.geeksforgeeks.org/python-classes-and-objects/,1,0.999999881,0.999999881
Python,OOP,Inheritance,https://www.w3schools.com/python/python_inheritance.asp,https://www.youtube.com/watch?v=3ohzBxoFHAY,https://www.geeksforgeeks.org/inheritance-in-python/,0.999999762,1,0.99999994
